,FECHA,FRECUENCIA
0,2023-12-04,1
1,2023-12-05,59
2,2023-12-06,2
3,2023-12-07,25
4,2023-12-08,3
5,2023-12-09,6
6,2023-12-10,0
7,2023-12-11,4
8,2023-12-12,0
9,2023-12-13,25
10,2023-12-14,3
11,2023-12-15,1
12,2023-12-16,3
13,2023-12-17,0
14,2023-12-18,28
15,2023-12-19,18
16,2023-12-20,7
17,2023-12-21,8
18,2023-12-22,1
19,2023-12-23,8
20,2023-12-24,2
21,2023-12-25,0
22,2023-12-26,4
23,2023-12-27,15
24,2023-12-28,22
25,2023-12-29,3
26,2023-12-30,0
27,2023-12-31,3
28,2024-01-01,7
29,2024-01-02,6
30,2024-01-03,4
31,2024-01-04,7
32,2024-01-05,9
33,2024-01-06,2
34,2024-01-07,2
35,2024-01-08,1
36,2024-01-09,1
37,2024-01-10,4
38,2024-01-11,1
39,2024-01-12,2
40,2024-01-13,0
41,2024-01-14,2
42,2024-01-15,10
43,2024-01-16,0
44,2024-01-17,1
45,2024-01-18,21
46,2024-01-19,6
47,2024-01-20,9
48,2024-01-21,0
49,2024-01-22,2
50,2024-01-23,1
51,2024-01-24,2
52,2024-01-25,0
53,2024-01-26,6
54,2024-01-27,2
55,2024-01-28,0
56,2024-01-29,2
57,2024-01-30,6
58,2024-01-31,2
59,2024-02-01,10
60,2024-02-02,5
61,2024-02-03,4
62,2024-02-04,1
63,2024-02-05,1
64,2024-02-06,13
65,2024-02-07,3
66,2024-02-08,2
67,2024-02-09,1
68,2024-02-10,0
69,2024-02-11,0
70,2024-02-12,4
71,2024-02-13,0
72,2024-02-14,0
73,2024-02-15,4
74,2024-02-16,1
75,2024-02-17,2
76,2024-02-18,0
77,2024-02-19,3
78,2024-02-20,5
79,2024-02-21,3
80,2024-02-22,4
81,2024-02-23,1
82,2024-02-24,0
83,2024-02-25,1
84,2024-02-26,6
85,2024-02-27,0
86,2024-02-28,6
87,2024-02-29,5
88,2024-03-01,39
89,2024-03-02,6
90,2024-03-03,8
91,2024-03-04,7
92,2024-03-05,4
93,2024-03-06,12
94,2024-03-07,15
95,2024-03-08,13
96,2024-03-09,20
97,2024-03-10,29
98,2024-03-11,22
99,2024-03-12,34
100,2024-03-13,25
101,2024-03-14,25
102,2024-03-15,105
103,2024-03-16,18
104,2024-03-17,15
105,2024-03-18,18
106,2024-03-19,32
107,2024-03-20,28
108,2024-03-21,20
109,2024-03-22,14
110,2024-03-23,19
111,2024-03-24,14
112,2024-03-25,30
113,2024-03-26,31
114,2024-03-27,2
115,2024-03-28,0
